Neighbourhood,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ambleside,1188,1165,1229,1223,1357,1368,1461,1537,1605,1730,1754,1766,1896,2149
Capital Hill/Brentwood,858,848,864,880,878,929,992,1045,1115,1161,1435,1282,1491,1376
Cedar Cottage,756,780,770,896,859,983,962,1089,1254,1188,1314,1333,1487,1701
Central Lonsdale,972,991,1002,1048,1066,1132,1271,1301,1419,1461,1514,1577,1784,1955
Central Park,908,920,935,945,984,1019,1100,1177,1234,1280,1265,1312,1462,1663
Cloverdale/Fleetwood,713,711,734,729,753,763,807,856,1120,1136,1221,1065,1224,1218
Collingwood,982,985,1015,1034,1030,1081,1099,1146,1206,1259,1402,1370,1417,1516
Coquitlam East,937,940,931,965,966,924,1014,1099,1046,1240,1379,1395,1582,1638
Coquitlam West,767,780,788,797,807,862,892,998,1099,1118,1205,1285,1324,1590
Deer Lake,**,864,**,**,**,**,**,**,**,**,**,**,**,**
Downtown,768,785,790,801,824,825,919,1012,1218,1328,1312,1375,1491,1676
Downtown Central,1095,1123,1157,1178,1224,1286,1361,1466,1511,1595,1673,1667,1752,1972
Downtown North,1339,1371,1400,1468,1522,1574,1772,1688,1828,1963,1964,2029,2116,2369
DT Eastside/Strathcona,**,**,**,**,**,**,,,,,,,,
Dundrave/West Vancouver Remainder,1225,1271,1282,1369,1393,1453,1517,1571,1644,1785,1646,1724,1954,2005
Edmonds,766,776,795,814,837,848,910,945,998,1088,1130,1188,1259,1443
English Bay,1080,1112,1142,1172,1222,1308,1441,1436,1579,1666,1637,1621,1756,1958
Fraser View/Killarny,944,971,969,994,1049,1069,1081,1135,1237,1347,1375,1390,1608,1640
Guildford,702,695,703,735,730,762,840,878,926,984,1019,1069,1104,1303
Hastings/Sunrise/Grandview/Woodlands,818,833,880,886,917,957,987,1055,1139,1219,1295,1288,1397,1564
Kerrisdale,1077,1087,1094,1096,1100,1142,1203,1303,1385,1407,1392,1422,1536,1596
Kitsilano/Point Grey North,1050,1073,1088,1134,1191,1211,1315,1394,1471,1600,1555,1605,1680,1833
Kitsilano/Point Grey South,1016,1074,1104,1131,1126,1119,1259,1283,1386,1484,1527,1561,1668,1799
Ladner,726,741,752,774,788,809,804,858,917,944,1116,1103,1073,1262
Langley (City),742,758,754,791,769,803,,,,,,,,
Langley (District municipality),782,809,783,810,793,832,,,,,,,,
Lonsdale East,892,911,925,976,1017,1033,1116,1156,1220,1335,1362,1387,1436,1564
Lonsdale North,867,900,904,933,946,978,1039,1093,1265,1264,1373,1328,1480,1639
Lonsdale West,882,884,921,980,988,1119,1084,1207,1267,1272,1426,1370,1534,1329
Maple Ridge,658,681,692,691,694,725,758,774,878,905,964,1069,1102,1271
Marpole Remainder,778,775,821,803,824,822,893,949,935,1295,1104,1118,1200,1213
Marpole South,809,818,842,857,871,897,963,983,1058,1133,1144,1166,1249,1384
Metrotown,858,867,882,893,902,923,987,1066,1124,1226,1219,1254,1396,1474
Mount Pleasant,876,904,923,947,999,1038,1119,1211,1273,1302,1337,1388,1493,1575
New Westminster East,791,772,794,808,833,852,904,977,1074,1283,1251,1376,1333,1669
New Westminster West,684,**,792,917,946,921,985,**,1403,1249,1357,1420,1489,**
Newton,738,763,759,782,764,763,849,868,878,967,1145,1183,1274,1339
North Delta,719,748,735,735,755,765,839,818,874,887,942,994,1033,**
North False Creek,1331,1735,1767,1343,1352,1451,1666,1699,1809,1901,1954,1968,2232,2510
North Vancouver District Municipality East,871,898,885,961,905,1025,,,,,,,,
North Vancouver District Municipality West,1000,1015,1052,1100,1138,1183,,,,,,,,
Pitt Meadows,750,777,793,790,800,807,844,986,1174,1183,1238,1246,1529,1580
Point Grey,1113,1109,1182,1188,1277,1254,1430,1391,1425,1682,1600,1501,1768,1918
Port Coquitlam,751,745,762,773,830,831,871,1005,1140,1237,1287,1418,1393,1319
Port Moody,782,799,818,827,827,854,894,1011,1020,1110,1088,1077,1610,1914
Renfrew,826,841,814,816,870,851,931,943,1090,1239,1216,**,**,1543
Richmond City Centre,897,901,912,916,927,955,1020,1104,1101,1181,1222,1263,1381,1581
Richmond East,**,**,**,**,1325,1302,1286,1477,1494,**,1583,**,**,**
Richmond South,869,878,883,976,992,1034,1112,1206,1275,1350,1343,1414,1378,1648
Richmond West,951,935,958,975,980,1044,1115,1158,1234,1318,1367,1385,1555,1710
Riley Park,978,1089,1090,1083,1083,1142,1204,1332,1336,1425,1498,1479,1538,1802
South Cambie,969,1024,1021,1052,1077,1126,1198,1221,1280,1385,1415,1492,1519,1593
South False Creek,1302,1459,1375,1410,1496,1563,1603,1704,1815,1828,1931,2028,2031,1827
South Granville,1026,1054,1084,1124,1130,1174,1269,1334,1427,1460,1473,1501,1569,1715
South Surrey,**,902,**,**,**,**,**,**,**,1248,1203,1461,1206,**
Southeast Burnaby South,737,770,782,798,819,824,861,950,1036,1025,1118,1165,1189,1238
Sunset,782,812,824,853,899,865,**,1073,1146,1335,1448,1442,1508,1657
Surrey City Centre,733,742,743,765,782,807,901,961,1052,1110,1252,1326,1594,1763
Tsawwassen,761,773,802,829,844,828,872,900,960,998,1100,1210,1217,1266
University Endowment Lands,1274,1345,1316,1347,1452,1513,1569,1700,1749,1828,1922,1879,1862,2218
University/Lougheed,899,943,967,984,1127,1113,1166,1367,1320,1364,1388,1433,1582,1762
Uptown,778,802,806,824,839,867,914,982,1070,1126,1189,1198,1274,1385
West End/Stanley Park North,1172,1208,1245,1264,1287,1354,1403,1475,1539,1629,1610,1592,1653,1827
West End/Stanley Park South,1060,1049,1084,1147,1153,1227,1342,1341,1439,1528,1493,1507,1636,1823
Westside Heights,839,847,877,874,886,932,965,994,1061,1171,1253,1238,1426,1512
Westside/Kerrisdale Remainder,1199,1195,1185,1205,1272,1256,1397,1519,1584,1657,1609,1594,1874,2002
Whalley,730,700,707,749,765,761,850,928,975,998,1185,1202,1523,1581
White Rock,811,816,840,837,839,865,893,944,1019,1080,1091,1149,1185,1390
Vancouver,940,964,982,1005,1038,1079,1159,1223,1306,1382,1415,1434,1543,1697
,,,,,,,,,,,,,,
