,price,street_add,latitude,longitude
0,4500,1288 Alberni St #502,49.28687,-123.12674
1,3950,1460 Barclay St,49.28693,-123.13332
2,7000,1200 Georgia St W #3502,49.287373,-123.126335
3,3439,825 Nicola St,49.2886,-123.1316
8,3723,1005 Jervis St,49.28496,-123.13245
9,2875,1461 Harwood St #201,49.28294,-123.13905
10,3280,1050 Broughton St #311,49.28489,-123.13328
11,2200,1250 Comox St #801,49.283577,-123.13241
12,4900,1930 Yew St #1930,49.26879,-123.154976
13,4590,980 Cooperage Way #1207,49.273537,-123.1141
14,2690,2375 Broadway W #19,49.26423,-123.15926
15,3000,1238 Seymour St #806,49.275776,-123.12576
16,4300,2988 Alder St #301,49.259033,-123.13077
17,3000,4599 W 15th Ave,49.259575,-123.212074
18,2500,3673 W 11th Ave #201,49.26281,-123.185455
19,2100,212 E 28th Ave #208,49.2455,-123.10085
20,3990,23O E 18th Ave,49.254387,-123.10408
21,6000,70 W 18th Ave,49.254433,-123.10646
22,2880,5115 Cambie St #503,49.238564,-123.11688
23,5500,5723 Collingwood St #311,49.23446,-123.18249
24,18000,15XX Angus Dr,49.254128,-123.13934
25,2950,5693 Elizabeth St #403,49.233692,-123.11233
26,2149,8740 Cartier St #306,49.20634,-123.13732
27,2325,8735 Selkirk St #208,49.206696,-123.1338
28,2450,1905 Robson St #1203,49.29288,-123.13699
29,6995,1710 Bayshore Dr #1503,49.29236,-123.1326
30,2800,1924 Barclay St #403,49.291187,-123.13999
31,7995,2088 Barclay St #1000,49.2925,-123.14203
32,2890,1889 Alberni St #205,49.29315,-123.13533
33,2650,1825 Haro St,49.29121,-123.13663
34,3800,1238 Melville St #902,49.288223,-123.12536
35,5950,1211 Melville St #301,49.288166,-123.12415
36,5000,4050 Perry St,49.249012,-123.070854
37,4450,3493 Commercial St,49.253357,-123.068405
38,5500,3981 Fleming St,49.25329,-123.07121
39,2750,3996 Dumfries St,49.24966,-123.073715
40,1850,1330 W 14th Ave #3,49.258575,-123.13458
41,3350,3638 Broadway W,49.264053,-123.184494
42,3550,538 W 7th Ave #601,49.264748,-123.116135
43,2300,1326 W 13th Ave #403,49.259495,-123.134544
44,2550,1146 E 13th Ave,49.258442,-123.08037
45,2300,2325 Glen Dr #2,49.264004,-123.081696
46,2900,2770 Sophia St #502,49.260315,-123.09753
47,2500,1534 Harwood St #904,49.283222,-123.1405
48,4350,1279 Nicola St #1,49.28347,-123.13964
49,8990,1199 Marinaside Cres,49.27348,-123.119965
50,2800,1783 Manitoba St,49.2696,-123.10728
51,4500,1201 Marinaside Cres #2706,49.27274,-123.12113
52,5990,1678 Pullman Porter St #104,49.270725,-123.10375
53,6000,181 W 1st Ave #8OO,49.27068,-123.10913
54,2800,108 W 1st Ave #1105,49.26998,-123.10752
55,4200,193 Aquarius Mews #1907,49.274166,-123.11877
56,3195,919 Station St #409,49.276463,-123.09951
57,5000,1603 E 4th Ave,49.267155,-123.07146
58,2850,969 Richards St,49.278664,-123.12053
